year,month,day,p,pet,q,max_temp,min_temp
1948,1,1,0.6,0.79,0.494,21.6722,4.8222
1948,1,2,0,0.801,0.494,11.9222,-0.25
1948,1,3,0,0.804,0.6733,16.2556,-2.2889
1948,1,4,0.11,0.808,0.6544,19.6556,1.3944
1948,1,5,0.03,0.812,0.5632,19.7889,-1.2722
1948,1,6,0.26,0.818,0.5097,19.9556,0.1889
1948,1,7,0,0.823,0.4782,19.5611,1.6722
1948,1,8,0.94,0.83,0.4468,22.1944,7.3944
1948,1,9,6.82,0.837,0.431,23.75,7.8278
1948,1,10,1.8,0.844,0.431,19.7444,8.8833
1948,1,11,5.54,0.852,0.4625,17.9056,4.5889
1948,1,12,19.85,0.861,0.4782,21.6333,9.6333
1948,1,13,2.14,0.871,3.4294,16.9556,4.1667
1948,1,14,2.66,0.881,7.488,8.3889,-4.2667
1948,1,15,0.33,0.891,3.2092,11.4333,-5.2444
1948,1,16,6.03,0.903,1.4315,15.3944,-0.5
1948,1,17,2.95,0.915,1.0854,11.6111,-4.5111
1948,1,18,0.69,0.927,1.0634,4.0944,-10.4833
1948,1,19,8.16,0.94,1.0383,5.0222,-5.0333
1948,1,20,5.67,0.954,1.0634,9.4944,0.2667
1948,1,21,1.26,0.968,1.4819,10.0167,2.2389
1948,1,22,2.03,0.983,1.8626,12.4389,0.2278
1948,1,23,14.1,0.998,2.1961,11.8556,-5.3778
1948,1,24,1.46,1.014,3.8069,2.3889,-11.8556
1948,1,25,0.03,1.031,3.4294,3.4889,-6.6333
1948,1,26,4.31,1.048,2.5799,14.3111,1.1389
1948,1,27,27.5,1.065,3.1116,13.9222,2.0167
1948,1,28,5.34,1.084,9.6275,3.6611,-4.6222
1948,1,29,21.14,1.102,11.0433,1.5889,-3.6833
1948,1,30,4.41,1.122,10.6343,1.5722,-1.5222
1948,1,31,0.84,1.142,10.9803,6.4556,-3.6167
1948,2,1,0,1.162,8.1487,9.9278,-4.05
1948,2,2,0.06,1.183,3.9013,8.8944,0.9167
1948,2,3,0,1.204,2.0325,14.4667,0.4222
1948,2,4,0.08,1.226,1.3812,21.4722,6.3611
1948,2,5,0.45,1.249,1.1326,25.0444,14.2556
1948,2,6,0.02,1.272,0.9911,22.7889,9.8889
1948,2,7,0.67,1.295,0.8747,23.05,11.4
1948,2,8,20.24,1.319,0.8747,21.9111,7.2333
1948,2,9,2.32,1.343,3.9957,11.55,-1.1
1948,2,10,0.69,1.368,7.3307,5.6333,-1.4222
1948,2,11,2.64,1.394,4.4991,13.6056,3.1889
1948,2,12,12.3,1.419,2.3911,24.0667,11.3333
1948,2,13,13.08,1.446,3.9328,23.0167,7.2833
1948,2,14,0.14,1.472,9.596,14.1278,-0.5889
1948,2,15,0.13,1.5,7.7083,16.7,1.0167
1948,2,16,0.01,1.527,3.2721,21.2167,7.4444
1948,2,17,0,1.555,1.6958,24.1333,10.2889
1948,2,18,0,1.583,1.2553,24.3444,7.3111
1948,2,19,0.07,1.612,1.0131,24.1389,10.0889
1948,2,20,2,1.641,0.9187,22.7944,12.2556
1948,2,21,26.42,1.671,1.0257,17,5.4056
1948,2,22,0.31,1.701,5.4115,8.7333,1.0944
1948,2,23,4.73,1.731,6.1666,11.6111,2.4111
1948,2,24,6.4,1.762,3.0676,15.8,6.9444
1948,2,25,0.34,1.793,2.7058,20.5,12.2389
1948,2,26,0.42,1.824,2.7058,24.3278,15.2778
1948,2,27,0.14,1.856,1.9758,25.7,15.8556
1948,2,28,0.13,1.888,1.4315,26.4278,14.8
1948,2,29,1.65,1.92,1.1326,28.05,13.1
1948,3,1,6.98,1.953,0.9187,26.35,15.5111
1948,3,2,53.45,1.986,6.3239,24.4389,12.3722
1948,3,3,6.19,2.019,16.2975,22.6778,11.7556
1948,3,4,0.04,2.052,28.7565,17.7333,9.5556
1948,3,5,47.54,2.086,24.226,15.4111,8.5056
1948,3,6,3.06,2.12,24.226,15.7556,9.2944
1948,3,7,0.51,2.154,24.226,19.4833,7.7056
1948,3,8,4.58,2.189,18.5942,21.6278,7.9556
1948,3,9,3.73,2.223,8.4004,19.7278,10.7389
1948,3,10,0.04,2.258,4.2159,22.2667,12.3778
1948,3,11,0.07,2.293,2.9417,18.5833,6.6889
1948,3,12,0,2.329,2.1426,11.8556,-1.1611
1948,3,13,0,2.364,1.6203,16.0667,-2.7889
1948,3,14,0,2.4,1.3434,19.8944,0.2444
1948,3,15,0,2.435,1.183,23.6722,8.2333
1948,3,16,1.35,2.471,1.0571,27.4167,16.8111
1948,3,17,0.71,2.507,1.0068,25.7556,16.9111
1948,3,18,0,2.544,1.3151,28.3056,17.5167
1948,3,19,0,2.58,1.2365,28.1556,19.45
1948,3,20,0,2.616,0.8904,29.1667,19.9111
1948,3,21,0.35,2.653,0.7645,28.9722,18.95
1948,3,22,8,2.69,0.7645,28.1556,19.4
1948,3,23,0.25,2.726,0.9816,25.6278,8.0611
1948,3,24,0.1,2.763,0.7425,27.0889,7.3722
1948,3,25,1.72,2.8,0.6859,25.9056,10.5389
1948,3,26,21.3,2.837,0.6481,27.6056,17.2444
1948,3,27,4.41,2.874,2.7781,24.2611,9.0167
1948,3,28,1.02,2.911,8.1802,17.9778,3.6389
1948,3,29,0,2.947,7.3307,18.1944,3.2222
1948,3,30,0.51,2.984,2.7372,20.9667,10.5167
1948,3,31,0.96,3.021,1.2365,23.5833,15.8056
1948,4,1,0.16,3.058,0.9124,24.7111,13.85
1948,4,2,0.02,3.095,0.7236,23.3389,7.7056
1948,4,3,0,3.132,0.6104,23.1722,6.8444
1948,4,4,0,3.169,0.5915,25.2056,7.1889
1948,4,5,5.77,3.205,0.5758,27.8167,15.7889
1948,4,6,0,3.242,0.667,28.9,19.3222
1948,4,7,0.38,3.278,0.7048,29.25,19.5833
1948,4,8,0.15,3.315,0.5412,29.8278,19.15
1948,4,9,0.08,3.351,0.4719,28.9389,18.4889
1948,4,10,0,3.387,0.4719,29.3889,16.65
1948,4,11,0,3.423,0.4405,29.5778,19.0111
1948,4,12,1.67,3.459,0.409,29.5389,20.2222
1948,4,13,38.55,3.495,0.5758,28.1,17.4722
1948,4,14,0.38,3.531,2.0797,23.2611,12.1111
1948,4,15,0,3.566,5.0025,21.7333,6.55
1948,4,16,0,3.601,2.712,25.7444,7.6
1948,4,17,0,3.636,1.032,29.3278,9.9556
1948,4,18,0,3.671,0.7048,31.0722,12.0389
1948,4,19,0.27,3.706,0.5758,30.3778,13.9222
1948,4,20,0,3.74,0.4908,29.3,14.1889
1948,4,21,0,3.775,0.4562,29.3278,14.0611
1948,4,22,0.11,3.808,0.4247,29.6556,12.9333
1948,4,23,1.52,3.842,0.409,29.0722,13.4389
